;Cust_id;Year;Nationality_id;Country_booked;Nationality;Frequency;Promo_id;Recency;Country_booked_id;Score
11804;20291;2019;93;Indonesia;SG;30;30;870;30;60
3251;5482;2019;43;Indonesia;ID;29;29;2548;29;58
7600;13112;2019;43;Indonesia;ID;28;28;812;28;56
5747;9903;2019;43;Indonesia;ID;15;15;435;15;30
6803;11738;2019;81;France;PH;13;13;2204;26;39
3696;6252;2019;43;Indonesia;ID;13;26;621;13;39
14928;25498;2019;43;Indonesia;ID;11;11;3003;11;22
2840;4766;2019;81;Philippines;PH;10;10;2328;10;20
17549;30069;2019;43;Indonesia;ID;10;10;1200;10;20
13119;22488;2019;97;Japan;TH;9;9;1080;18;27
1075;1873;2019;81;France;PH;9;9;1080;18;27
17935;30725;2019;43;Indonesia;ID;9;9;1174;9;18
17280;29598;2019;81;Philippines;PH;9;9;321;9;18
5882;10128;2019;43;Indonesia;ID;8;8;412;8;16
15587;26660;2019;43;Indonesia;ID;8;8;872;8;16
17492;29985;2019;93;Indonesia;SG;7;7;446;7;14
1605;2751;2019;43;Indonesia;ID;7;7;203;7;14
5405;9289;2019;43;Indonesia;ID;6;6;906;6;12
3361;5670;2019;43;Indonesia;ID;6;6;873;6;12
5633;9664;2019;43;Singapore;ID;6;10;1091;6;16
3237;5441;2019;43;Indonesia;ID;5;5;387;5;10
17101;29293;2019;43;Indonesia;ID;5;7;541;5;12
5076;8723;2019;81;Philippines;PH;5;5;480;5;10
9379;16112;2019;81;Philippines;PH;5;5;785;5;10
5439;9349;2019;43;Japan;ID;5;5;723;10;15
4436;7576;2019;43;Indonesia;ID;5;5;265;5;10
6169;10653;2019;43;USA;ID;5;10;1207;10;20
700;1213;2019;81;Philippines;PH;5;6;388;5;11
1669;2850;2019;43;Indonesia;ID;5;5;1184;5;10
7519;12976;2019;43;Indonesia;ID;5;10;450;5;15
18635;31984;2019;43;Indonesia;ID;5;5;175;5;10
6806;11738;2019;81;Philippines;PH;5;5;265;5;10
6804;11738;2019;81;Italy;PH;5;5;1176;10;15
12739;21847;2019;43;USA;ID;4;4;206;8;12
14867;25402;2019;43;Japan;ID;4;4;176;8;12
7151;12344;2019;43;Indonesia;ID;4;7;419;4;11
484;830;2019;81;Philippines;PH;4;4;390;4;8
5084;8743;2019;103;Philippines;US;4;8;176;4;12
7343;12668;2019;81;USA;PH;4;4;1185;8;12
15782;27002;2019;43;Indonesia;ID;4;8;299;4;12
1388;2386;2019;43;Indonesia;ID;4;6;238;4;10
8492;14637;2019;43;Indonesia;ID;4;4;267;4;8
8490;14634;2019;81;Japan;PH;4;4;236;8;12
12760;21885;2019;43;Indonesia;ID;4;4;116;4;8
11363;19534;2019;43;Indonesia;ID;4;5;268;4;9
6807;11738;2019;81;Singapore;PH;4;4;937;4;8
14537;24864;2019;43;Indonesia;ID;4;7;879;4;11
4438;7579;2019;43;Japan;ID;4;8;1272;8;16
15276;26116;2019;43;Indonesia;ID;4;4;604;4;8
13755;23552;2019;43;Indonesia;ID;4;8;848;4;12
1531;2612;2019;43;Indonesia;ID;4;4;728;4;8
16482;28170;2019;43;Indonesia;ID;4;4;360;4;8
17972;30791;2019;43;Indonesia;ID;4;8;146;4;12
2416;4108;2019;43;Indonesia;ID;4;4;360;4;8
9400;16140;2019;43;Indonesia;ID;4;5;722;4;9
7742;13344;2019;81;Philippines;PH;3;3;239;3;6
2229;3758;2019;43;Indonesia;ID;3;3;270;3;6
5519;9476;2019;43;Indonesia;ID;3;3;177;3;6
5438;9349;2019;43;Indonesia;ID;3;3;391;3;6
7308;12613;2019;43;Japan;ID;3;6;117;6;12
3309;5579;2019;43;Indonesia;ID;3;6;178;3;9
16356;27959;2019;43;Indonesia;ID;3;3;484;3;6
18127;31107;2019;43;Japan;ID;3;3;759;6;9
8432;14528;2019;5;Japan;AU;3;3;117;6;9
12232;20988;2019;43;Singapore;ID;3;3;636;3;6
15240;26059;2019;43;Croatia (Hrvatska);ID;3;3;819;6;9
7429;12802;2019;81;Philippines;PH;3;3;239;3;6
5761;9935;2019;43;Indonesia;ID;3;5;87;3;8
13804;23633;2019;43;Indonesia;ID;3;6;453;3;9
12520;21468;2019;43;Indonesia;ID;3;4;178;3;7
2191;3697;2019;81;Japan;PH;3;4;270;6;10
16405;28044;2019;81;Philippines;PH;3;3;940;3;6
1114;1930;2019;43;Indonesia;ID;3;4;270;3;7
14370;24582;2019;81;Italy;PH;3;6;87;6;12
16995;29105;2019;43;Indonesia;ID;3;4;634;3;7
14759;25228;2019;43;Indonesia;ID;3;6;453;3;9
3060;5137;2019;93;Singapore;SG;3;6;270;3;9
8084;13926;2019;72;Japan;MY;3;5;636;6;11
11694;20117;2019;43;Indonesia;ID;3;4;117;3;7
9854;16905;2019;43;Italy;ID;3;6;270;6;12
11952;20545;2019;81;Philippines;PH;3;4;177;3;7
1159;2001;2019;93;Indonesia;SG;3;6;177;3;9
2596;4394;2019;103;USA;US;3;4;726;6;10
15972;27359;2019;43;Indonesia;ID;3;3;938;3;6
13303;22819;2019;43;New Zealand;ID;3;6;360;6;12
6798;11728;2019;43;Indonesia;ID;3;3;453;3;6
2074;3499;2019;43;Indonesia;ID;3;5;361;3;8
14420;24682;2019;81;Japan;PH;3;3;300;6;9
6104;10538;2019;43;Indonesia;ID;3;3;514;3;6
11479;19716;2019;81;Japan;PH;3;3;576;6;9
2533;4303;2019;43;Indonesia;ID;3;6;269;3;9
15125;25845;2019;43;Japan;ID;3;3;177;6;9
15609;26689;2019;43;Indonesia;ID;3;5;178;3;8
6113;10556;2019;81;Japan;PH;3;3;543;6;9
